Unknown,"sahar qarīb hai tāroñ kā haal kyā hogā ab intizār ke māroñ kā haal kyā hogā 
tirī nigāh ne zālim kabhī hai ye sochā tirī nigāh ke māroñ kā haal kyā hogā 
muqābla hai tire husn kā bahāroñ se na jaane aaj bahāroñ kā haal kyā hogā 
naqāb un kā ulaTnā to chāhtā huuñ magar bigaḌ ga.e to nazāroñ kā haal kyā hogā 
mazāq-e-dīd hī 'sahbā' agar badal jaa.e to zindagī kī bahāroñ kā haal kyā hogā 
sahar qarib hai taron ka haal kya hoga ab intizar ke maron ka haal kya hoga 
teri nigah ne zalim kabhi hai ye socha teri nigah ke maron ka haal kya hoga 
muqabla hai tere husn ka bahaaron se na jaane aaj bahaaron ka haal kya hoga 
naqab un ka ulaTna to chahta hun magar bigaD gae to nazaron ka haal kya hoga 
mazaq-e-did hi 'sahba' agar badal jae to zindagi ki bahaaron ka haal kya hoga "
Purnam Allahabadi,"aaj koī baat ho ga.ī vo na aa.e raat ho ga.ī 
jab vo mere saath ho ga.e duniyā mere saath ho ga.ī 
jab vo milne aa.e raat ko merī chāñd-rāt ho ga.ī 
mujh se barham aap kyā hue saarī kā.enāt ho ga.ī 
mar ga.e tire marīz-e-ġham dard se najāt ho ga.ī 
ai dil-e-tabāh ġham ye hai rusvā un kī zaat ho ga.ī 
'purnam' aa ga.e vo mere ghar mutma.in hayāt ho ga.ī 
aaj koi baat ho gai wo na aae raat ho gai 
jab wo mere sath ho gae duniya mere sath ho gai 
jab wo milne aae raat ko meri chand-raat ho gai 
mujh se barham aap kya hue sari kaenat ho gai 
mar gae tere mariz-e-gham dard se najat ho gai 
ai dil-e-tabah gham ye hai ruswa un ki zat ho gai 
'purnam' aa gae wo mere ghar mutmain hayat ho gai "
Unknown,"merī āñkhoñ ko baḳhshe haiñ aañsū dil ko dāġh-e-alam de ga.e haiñ is ināyat pe qurbān jā.ūñ pyaar māñgā thā ġham de ga.e haiñ 
dene aa.e the ham ko tasallī vo tasallī to kyā ham ko dete toḌ kar ka.aba-e-dil hamārā hasratoñ ke sanam de ga.e haiñ 
dil taḌaptā hai fariyād kar ke aañkh Dartī hai aañsū bahā ke aisī ulfat se vo jaate jaate mujh ko apnī qasam de ga.e haiñ 
marhabā mai-kashoñ kā muqaddar ab to piinā ibādat hai 'anvar' aaj rindoñ ko piine kī dāvat vā.iz-e-mohtaram de ga.e haiñ 
meri aankhon ko baKHshe hain aansu dil ko dagh-e-alam de gae hain is inayat pe qurban jaun pyar manga tha gham de gae hain 
dene aae the hum ko tasalli wo tasalli to kya hum ko dete toD kar kaba-e-dil hamara hasraton ke sanam de gae hain 
dil taDapta hai fariyaad kar ke aankh Darti hai aansu baha ke aisi ulfat se wo jate jate mujh ko apni qasam de gae hain 
marhaba mai-kashon ka muqaddar ab to pina ibaadat hai 'anwar' aaj rindon ko pine ki dawat waiz-e-mohtaram de gae hain "
Bashir Farooqi,"shahr-e-fasl-e-gul se chal kar pattharoñ ke darmiyāñ zindagī aa jā kabhī ham be-gharoñ ke darmiyāñ 
maiñ huuñ vo tasvīr jis meñ hādse bharte haiñ rang ḳhāl-o-ḳhat khulte haiñ mere ḳhanjaroñ ke darmiyāñ 
pahle ham ne ghar banā kar fāsle paidā kiye phir uThā diiñ aur dīvāreñ gharoñ ke darmiyāñ 
ahd-e-hāzir meñ uḳhuvvat kā tasavvur hai magar tazkaroñ meñ kāġhazoñ par rahbaroñ ke darmiyāñ 
un shahīdān-e-vafā ke naam mere sab suḳhan sar-bulandī jin ko hāsil hai saroñ ke darmiyāñ 
kaisā fan kaisī zehānat ye zamāna aur hai siikh lo kuchh sho'bde bāzīgaroñ ke darmiyāñ 
uḌ gayā to shāḳh kā saarā badan jalne lagā dhuup rakh lī thī parinde ne paroñ ke darmiyāñ 
ye jo ḳhāna hai sukūnat kā yahāñ likh do 'bashīr' phuul huuñ lekin khilā huuñ pattharoñ ke darmiyāñ 
shahr-e-fasl-e-gul se chal kar pattharon ke darmiyan zindagi aa ja kabhi hum be-gharon ke darmiyan 
main hun wo taswir jis mein hadse bharte hain rang KHal-o-KHat khulte hain mere KHanjaron ke darmiyan 
pahle hum ne ghar bana kar fasle paida kiye phir uTha din aur diwaren gharon ke darmiyan 
ahd-e-hazir mein uKHuwwat ka tasawwur hai magar tazkaron mein kaghazon par rahbaron ke darmiyan 
un shahidan-e-wafa ke nam mere sab suKHan sar-bulandi jin ko hasil hai saron ke darmiyan 
kaisa fan kaisi zehanat ye zamana aur hai sikh lo kuchh sho'bde bazigaron ke darmiyan 
uD gaya to shaKH ka sara badan jalne laga dhup rakh li thi parinde ne paron ke darmiyan 
ye jo KHana hai sukunat ka yahan likh do 'bashir' phul hun lekin khila hun pattharon ke darmiyan "
Poet,Poetry Text
Wali Mohammad Wali,"tujh lab kī sifat la.al-e-badaḳhshāñ suuñ kahūñgā jaadū haiñ tire nain ġhazālāñ suuñ kahūñgā 
dī bādshahī haq ne tujhe husn-nagar kī yū kishvar-e-īrāñ meñ sulaimāñ suuñ kahūñgā 
tārīf tire qad kī alif-vār sirījan jā sarv-e-gulistāñ kuuñ ḳhush-alhāñ suuñ kahūñgā 
mujh par na karo zulm tum ai laili-e-ḳhūbāñ majnūñ huuñ tire ġham kuuñ bayābāñ suuñ kahūñgā 
dekhā huuñ tujhe ḳhvāb meñ ai māya-e-ḳhūbī is ḳhvāb ko jā yūsuf-e-kan.āñ suuñ kahūñgā 
jaltā huuñ shab-o-roz tire ġham meñ ai sājan ye soz tirā mash.al-e-sozāñ suuñ kahūñgā 
yak nuqta tire safha-e-ruḳh par na.iñ bejā is mukh ko tire safha-e-qur.āñ suuñ kahūñgā 
qurbān parī mukh pe huī chob sī jal kar ye baat ajā.ib mah-e-tābāñ suuñ kahūñgā 
be-sabr na ho ai 'valī' is dard suuñ hargiz jaltā huuñ tire dard meñ darmāñ suuñ kahūñgā 
tujh lab ki sifat lal-e-badaKHshan sun kahunga jadu hain tere nain ghazalan sun kahunga 
di baadshahi haq ne tujhe husn-nagar ki yu kishwar-e-iran mein sulaiman sun kahunga 
tarif tere qad ki alif-war sirijan ja sarw-e-gulistan kun KHush-alhan sun kahunga 
mujh par na karo zulm tum ai laili-e-KHuban majnun hun tere gham kun bayaban sun kahunga 
dekha hun tujhe KHwab mein ai maya-e-KHubi is KHwab ko ja yusuf-e-kanan sun kahunga 
jalta hun shab-o-roz tere gham mein ai sajan ye soz tera mashal-e-sozan sun kahunga 
yak nuqta tere safha-e-ruKH par nain beja is mukh ko tere safha-e-quran sun kahunga 
qurban pari mukh pe hui chob si jal kar ye baat ajaib mah-e-taban sun kahunga 
be-sabr na ho ai 'wali' is dard sun hargiz jalta hun tere dard mein darman sun kahunga "
Nawab Nizamuddaula Bahadur,"nain tere shikār karte haiñ dil hamārā figār karte haiñ 
ḳhūb-rū jab siñgār karte haiñ aarsī par bahār karte haiñ 
kisī bedād suuñ chaman meñ aaj phuul saare pukār karte haiñ 
ḳhush-nigāh aur bar meñ sabz libās sarv kuuñ sharmsār karte haiñ 
ahl-e-dil girya-e-nadāmat señ sair abr-e-bahār karte haiñ 
chashm-e-bad-dūr dil-barāñ saare apne 'nāsir' kuuñ pyaar karte haiñ 
nain tere shikar karte hain dil hamara figar karte hain 
KHub-ru jab singar karte hain aarsi par bahaar karte hain 
kisi bedad sun chaman mein aaj phul sare pukar karte hain 
KHush-nigah aur bar mein sabz libas sarw kun sharmsar karte hain 
ahl-e-dil girya-e-nadamat sen sair abr-e-bahaar karte hain 
chashm-e-bad-dur dil-baran sare apne 'nasir' kun pyar karte hain "
Wali Mohammad Wali,"kiyā mujh ishq ne zālim kuuñ aab āhista-āhista ki ātish gul kuuñ kartī hai gulāb āhista-āhista 
vafādārī ne dilbar kī bujhāyā ātish-e-ġham kuuñ ki garmī dafa.a kartā hai gulāb āhista-āhista 
ajab kuchh lutf rakhtā hai shab-e-ḳhalvat meñ gul-rū suuñ ḳhitāb āhista-āhista javāb āhista-āhista 
mire dil kuuñ kiyā be-ḳhud tirī añkhiyāñ ne āḳhir kuuñ ki jyuuñ behosh kartī hai sharāb āhista-āhista 
huā tujh ishq suuñ ai ātishīñ-rū dil mirā paanī ki jyuuñ galtā hai ātish suuñ gulāb āhista-āhista 
adā-o-nāz suuñ aatā hai vo raushan-jabīñ ghar suuñ ki jyuuñ mashriq suuñ nikle āftāb āhista-āhista 
kiya mujh ishq ne zalim kun aab aahista-ahista ki aatish gul kun karti hai gulab aahista-ahista 
wafadari ne dilbar ki bujhaya aatish-e-gham kun ki garmi dafa karta hai gulab aahista-ahista 
ajab kuchh lutf rakhta hai shab-e-KHalwat mein gul-ru sun KHitab aahista-ahista jawab aahista-ahista 
mere dil kun kiya be-KHud teri ankhiyan ne aaKHir kun ki jyun behosh karti hai sharab aahista-ahista 
hua tujh ishq sun ai aatishin-ru dil mera pani ki jyun galta hai aatish sun gulab aahista-ahista 
ada-o-naz sun aata hai wo raushan-jabin ghar sun ki jyun mashriq sun nikle aaftab aahista-ahista "
Aarifuddin Aajiz,"araq jab us parī ke chehra-e-pur-nūr se Tapke ḳhajil ho gul se shabnam juuñ lahū nāsūr se Tapke 
mirī āñkhoñ se ḳhūnīñ ashk yuuñ girte haiñ palkoñ par lahū suulī ke uupar juuñ sar-e-mansūr se Tapke 
agar kaif-e-suḳhan merā nihāl-e-tāk ko pahuñche surāhī shāḳh ban jaave sharāb añgūr se Tapke 
agar us zulf-mushk-āmez se chunnī meñ baal aave ajab maiñ itr-o-ambar kāsa-e-naġhfūr se Tapke 
karūñ fariyād ro ro yaar ko jab yaad kar 'ājiz' dam isrāfīl kā lohū ho bāñg-e-sūr se Tapke 
araq jab us pari ke chehra-e-pur-nur se Tapke KHajil ho gul se shabnam jun lahu nasur se Tapke 
meri aankhon se KHunin ashk yun girte hain palkon par lahu suli ke upar jun sar-e-mansur se Tapke 
agar kaif-e-suKHan mera nihaal-e-tak ko pahunche surahi shaKH ban jawe sharab angur se Tapke 
agar us zulf-mushk-amez se chunni mein baal aawe ajab main itr-o-ambar kasa-e-naghfur se Tapke 
karun fariyaad ro ro yar ko jab yaad kar 'ajiz' dam israfil ka lohu ho bang-e-sur se Tapke "
Arshad Aurangabadi,"tujh ruḳh pe mujhe nūr-e-ilāhī nazar aaya jo asl meñ hai so hī kamāhī nazar aaya 
jab chashm kiyā terī taraf ahl-e-nazar ne had-darja fuzūñ rutba-o-jāhī nazar aaya 
tujh zulf-e-pareshāñ pe nazar jis kī paḌī hai dil-jam.ī use na.iiñ vo tabāhī nazar aaya 
mujh ishq kī saugand hai jab ishq ko kholā kuchh aur na dekhā vo sipāhī nazar aaya 
'arshad' mirā dildār kahīñ mujh se judā na.iiñ har vaqt vo mujh dil meñ basā hī nazar aaya 
tujh ruKH pe mujhe nur-e-ilahi nazar aaya jo asl mein hai so hi kamahi nazar aaya 
jab chashm kiya teri taraf ahl-e-nazar ne had-darja fuzun rutba-o-jahi nazar aaya 
tujh zulf-e-pareshan pe nazar jis ki paDi hai dil-jami use nain wo tabahi nazar aaya 
mujh ishq ki saugand hai jab ishq ko khola kuchh aur na dekha wo sipahi nazar aaya 
'arshad' mera dildar kahin mujh se juda nain har waqt wo mujh dil mein basa hi nazar aaya "
Zaka Meer Aulad Mohammad Khan,"junūñ ke haat ab maiñ kyā kahūñ dil saḳht hairāñ hai garebāñ kar chukā huuñ nazr aage ab ye dāmāñ hai 
tujhe vājib hai jaanā urs meñ apne shahīdoñ ke sunā huuñ maiñ ki un kā aaj sandal kal charāġhāñ hai 
rahā gar āstāñ par aa ke maiñ fart-e-aqīdat se takalluf bartaraf sarkār kā kyā is meñ nuqsāñ hai 
lage kyūñkar na dil kunj-e-qafas meñ andalīboñ kā jahāñ meñ āj-kal ābād gar kuchh hai to zindāñ hai 
nahīñ lāzim hai denā haath se sheva tarahhum kā huī vaaq.e 'zakā' se kuchh agar taqsīr insāñ hai 
junun ke hat ab main kya kahun dil saKHt hairan hai gareban kar chuka hun nazr aage ab ye daman hai 
tujhe wajib hai jaana urs mein apne shahidon ke suna hun main ki un ka aaj sandal kal charaghan hai 
raha gar aastan par aa ke main fart-e-aqidat se takalluf bartaraf sarkar ka kya is mein nuqsan hai 
lage kyunkar na dil kunj-e-qafas mein andalibon ka jahan mein aaj-kal aabaad gar kuchh hai to zindan hai 
nahin lazim hai dena hath se shewa tarahhum ka hui waqe 'zaka' se kuchh agar taqsir insan hai "
